id,asset_type,theme,visual_prompt,copy_overlay,recommended_size,production_notes
VIS-064,Founder POV video,Owner bottleneck,"Owner silhouette at center with every arrow pointing to him; second frame shows rules and routing distributed. Dark charcoal background, copper #D45506 accents, off-white text, real HVAC/shop-floor texture, serious operator tone, no cartoon style.",Do not let voicemail make dispatch decisions.,1200x628 landscape,Add subtle copper rule
VIS-065,Google Business Profile image,Emergency rules board,"No-heat, no-cool, warranty, VIP, after-hours shown as shop-board cards. Dark charcoal background, copper #D45506 accents, off-white text, real HVAC/shop-floor texture, serious operator tone, no cartoon style.",Built for HVAC owners scaling toward the next chapter.,1080x1080 square,Use real shop B-roll
VIS-066,LinkedIn document slide,Recap diligence lens,"Dark table with diligence checklist: callbacks, AR, dispatch, owner dependency. Dark charcoal background, copper #D45506 accents, off-white text, real HVAC/shop-floor texture, serious operator tone, no cartoon style.",Find the leak before busy season does.,1080x1350 portrait,Keep safe-zone clear for Reels
VIS-067,Story frame,Rooftop operator proof,"Rooftop HVAC image with headline: stronger operations are built in the heat. Dark charcoal background, copper #D45506 accents, off-white text, real HVAC/shop-floor texture, serious operator tone, no cartoon style.",Stronger Operations. Stronger Profits.,1080x1920 vertical,Use TF monogram bottom-right
VIS-068,Retargeting ad visual,24-hour review,"Clock graphic plus call recording waveform and dispatch note. Dark charcoal background, copper #D45506 accents, off-white text, real HVAC/shop-floor texture, serious operator tone, no cartoon style.",Calls routed. Calls recorded. Calls reviewed.,1200x628 landscape,Use wordmark top-left
VIS-069,YouTube thumbnail,Callback cost stack,"Stacked blocks: truck roll, tech time, customer trust, schedule capacity, margin. Dark charcoal background, copper #D45506 accents, off-white text, real HVAC/shop-floor texture, serious operator tone, no cartoon style.",The dispatch room protects the P&L.,1080x1080 square,Keep headline under seven words
VIS-070,Email header graphic,Frontline layer,"ThermaForge wordmark on top, Frontline routing layer below, call log feeding review notes. Dark charcoal background, copper #D45506 accents, off-white text, real HVAC/shop-floor texture, serious operator tone, no cartoon style.",Do not let voicemail make dispatch decisions.,1080x1350 portrait,Add subtle copper rule
VIS-071,Static quote card,Weekly review board,"Operations board with columns: calls, booked jobs, callbacks, AR, open escalations. Dark charcoal background, copper #D45506 accents, off-white text, real HVAC/shop-floor texture, serious operator tone, no cartoon style.",Built for HVAC owners scaling toward the next chapter.,1080x1920 vertical,Use real shop B-roll
VIS-072,Carousel,Truck roll leakage,"Service truck photo with copper overlay showing wasted roll, lost slot, margin hit. Dark charcoal background, copper #D45506 accents, off-white text, real HVAC/shop-floor texture, serious operator tone, no cartoon style.",Find the leak before busy season does.,1200x628 landscape,Keep safe-zone clear for Reels
VIS-073,Reel/TikTok/Shorts,Missed call math,"Show a copper phone icon, three missed-call rows, and a bottom line: calls do not wait for Monday. Dark charcoal background, copper #D45506 accents, off-white text, real HVAC/shop-floor texture, serious operator tone, no cartoon style.",Stronger Operations. Stronger Profits.,1080x1080 square,Use TF monogram bottom-right
VIS-074,Founder POV video,First-call-recorded checklist,"Four checkboxes: routed, recorded, reviewed, booked. Use the TF monogram as a stamped approval mark. Dark charcoal background, copper #D45506 accents, off-white text, real HVAC/shop-floor texture, serious operator tone, no cartoon style.",Calls routed. Calls recorded. Calls reviewed.,1080x1350 portrait,Use wordmark top-left
VIS-075,Google Business Profile image,Dispatch leak diagram,"Simple flow from call to dispatch to invoice with a copper break point labeled leak. Dark charcoal background, copper #D45506 accents, off-white text, real HVAC/shop-floor texture, serious operator tone, no cartoon style.",The dispatch room protects the P&L.,1080x1920 vertical,Keep headline under seven words
VIS-076,LinkedIn document slide,Owner bottleneck,"Owner silhouette at center with every arrow pointing to him; second frame shows rules and routing distributed. Dark charcoal background, copper #D45506 accents, off-white text, real HVAC/shop-floor texture, serious operator tone, no cartoon style.",Do not let voicemail make dispatch decisions.,1200x628 landscape,Add subtle copper rule
VIS-077,Story frame,Emergency rules board,"No-heat, no-cool, warranty, VIP, after-hours shown as shop-board cards. Dark charcoal background, copper #D45506 accents, off-white text, real HVAC/shop-floor texture, serious operator tone, no cartoon style.",Built for HVAC owners scaling toward the next chapter.,1080x1080 square,Use real shop B-roll
VIS-078,Retargeting ad visual,Recap diligence lens,"Dark table with diligence checklist: callbacks, AR, dispatch, owner dependency. Dark charcoal background, copper #D45506 accents, off-white text, real HVAC/shop-floor texture, serious operator tone, no cartoon style.",Find the leak before busy season does.,1080x1350 portrait,Keep safe-zone clear for Reels
VIS-079,YouTube thumbnail,Rooftop operator proof,"Rooftop HVAC image with headline: stronger operations are built in the heat. Dark charcoal background, copper #D45506 accents, off-white text, real HVAC/shop-floor texture, serious operator tone, no cartoon style.",Stronger Operations. Stronger Profits.,1080x1920 vertical,Use TF monogram bottom-right
VIS-080,Email header graphic,24-hour review,"Clock graphic plus call recording waveform and dispatch note. Dark charcoal background, copper #D45506 accents, off-white text, real HVAC/shop-floor texture, serious operator tone, no cartoon style.",Calls routed. Calls recorded. Calls reviewed.,1200x628 landscape,Use wordmark top-left
VIS-081,Static quote card,Callback cost stack,"Stacked blocks: truck roll, tech time, customer trust, schedule capacity, margin. Dark charcoal background, copper #D45506 accents, off-white text, real HVAC/shop-floor texture, serious operator tone, no cartoon style.",The dispatch room protects the P&L.,1080x1080 square,Keep headline under seven words
VIS-082,Carousel,Frontline layer,"ThermaForge wordmark on top, Frontline routing layer below, call log feeding review notes. Dark charcoal background, copper #D45506 accents, off-white text, real HVAC/shop-floor texture, serious operator tone, no cartoon style.",Do not let voicemail make dispatch decisions.,1080x1350 portrait,Add subtle copper rule
VIS-083,Reel/TikTok/Shorts,Weekly review board,"Operations board with columns: calls, booked jobs, callbacks, AR, open escalations. Dark charcoal background, copper #D45506 accents, off-white text, real HVAC/shop-floor texture, serious operator tone, no cartoon style.",Built for HVAC owners scaling toward the next chapter.,1080x1920 vertical,Use real shop B-roll
VIS-084,Founder POV video,Truck roll leakage,"Service truck photo with copper overlay showing wasted roll, lost slot, margin hit. Dark charcoal background, copper #D45506 accents, off-white text, real HVAC/shop-floor texture, serious operator tone, no cartoon style.",Find the leak before busy season does.,1200x628 landscape,Keep safe-zone clear for Reels
VIS-085,Google Business Profile image,Missed call math,"Show a copper phone icon, three missed-call rows, and a bottom line: calls do not wait for Monday. Dark charcoal background, copper #D45506 accents, off-white text, real HVAC/shop-floor texture, serious operator tone, no cartoon style.",Stronger Operations. Stronger Profits.,1080x1080 square,Use TF monogram bottom-right
VIS-086,LinkedIn document slide,First-call-recorded checklist,"Four checkboxes: routed, recorded, reviewed, booked. Use the TF monogram as a stamped approval mark. Dark charcoal background, copper #D45506 accents, off-white text, real HVAC/shop-floor texture, serious operator tone, no cartoon style.",Calls routed. Calls recorded. Calls reviewed.,1080x1350 portrait,Use wordmark top-left
VIS-087,Story frame,Dispatch leak diagram,"Simple flow from call to dispatch to invoice with a copper break point labeled leak. Dark charcoal background, copper #D45506 accents, off-white text, real HVAC/shop-floor texture, serious operator tone, no cartoon style.",The dispatch room protects the P&L.,1080x1920 vertical,Keep headline under seven words
VIS-088,Retargeting ad visual,Owner bottleneck,"Owner silhouette at center with every arrow pointing to him; second frame shows rules and routing distributed. Dark charcoal background, copper #D45506 accents, off-white text, real HVAC/shop-floor texture, serious operator tone, no cartoon style.",Do not let voicemail make dispatch decisions.,1200x628 landscape,Add subtle copper rule
VIS-089,YouTube thumbnail,Emergency rules board,"No-heat, no-cool, warranty, VIP, after-hours shown as shop-board cards. Dark charcoal background, copper #D45506 accents, off-white text, real HVAC/shop-floor texture, serious operator tone, no cartoon style.",Built for HVAC owners scaling toward the next chapter.,1080x1080 square,Use real shop B-roll
VIS-090,Email header graphic,Recap diligence lens,"Dark table with diligence checklist: callbacks, AR, dispatch, owner dependency. Dark charcoal background, copper #D45506 accents, off-white text, real HVAC/shop-floor texture, serious operator tone, no cartoon style.",Find the leak before busy season does.,1080x1350 portrait,Keep safe-zone clear for Reels
VIS-091,Static quote card,Rooftop operator proof,"Rooftop HVAC image with headline: stronger operations are built in the heat. Dark charcoal background, copper #D45506 accents, off-white text, real HVAC/shop-floor texture, serious operator tone, no cartoon style.",Stronger Operations. Stronger Profits.,1080x1920 vertical,Use TF monogram bottom-right
VIS-092,Carousel,24-hour review,"Clock graphic plus call recording waveform and dispatch note. Dark charcoal background, copper #D45506 accents, off-white text, real HVAC/shop-floor texture, serious operator tone, no cartoon style.",Calls routed. Calls recorded. Calls reviewed.,1200x628 landscape,Use wordmark top-left
VIS-093,Reel/TikTok/Shorts,Callback cost stack,"Stacked blocks: truck roll, tech time, customer trust, schedule capacity, margin. Dark charcoal background, copper #D45506 accents, off-white text, real HVAC/shop-floor texture, serious operator tone, no cartoon style.",The dispatch room protects the P&L.,1080x1080 square,Keep headline under seven words
VIS-094,Founder POV video,Frontline layer,"ThermaForge wordmark on top, Frontline routing layer below, call log feeding review notes. Dark charcoal background, copper #D45506 accents, off-white text, real HVAC/shop-floor texture, serious operator tone, no cartoon style.",Do not let voicemail make dispatch decisions.,1080x1350 portrait,Add subtle copper rule
VIS-095,Google Business Profile image,Weekly review board,"Operations board with columns: calls, booked jobs, callbacks, AR, open escalations. Dark charcoal background, copper #D45506 accents, off-white text, real HVAC/shop-floor texture, serious operator tone, no cartoon style.",Built for HVAC owners scaling toward the next chapter.,1080x1920 vertical,Use real shop B-roll
