id,platform,objective,audience,headline,primary_text,description,cta_button,creative_brief,landing_page,utm_content_slug
AD-027,Facebook Lead Form,Website visits,Trade business owners near recap,Your dispatch room is either protecting margin or giving it back.,"ThermaForge reviews call flow, emergency rules, lead alerts, and booking outcomes so the owner can see where profit is slipping before month-end.",ThermaForge Partners. Stronger Operations. Stronger Profits.,Book a dispatch review,Rooftop unit image graded charcoal with one large copper number.,https://thermaforgepartners.com/apply,dispatch_review-facebook-lead-form-027
AD-028,Instagram Stories,Retargeting,Website visitors 30 days,Do not call onboarding complete until the first call is recorded.,"A real setup means the call is routed, recorded, reviewed, and connected to a dispatch decision. ThermaForge runs the 24-hour review with Frontline monitoring.",ThermaForge Partners. Stronger Operations. Stronger Profits.,Start onboarding,Founder face-to-camera still with wordmark lower-third.,https://thermaforgepartners.com/onboarding,first_call_recorded-instagram-stories-028
AD-029,LinkedIn Single Image,Video views,Lookalike of engaged owners,Recap-ready HVAC companies do not run on heroics.,"If the owner is still the only escalation path, diligence will notice. Build a cleaner operating rhythm before sale, recap, or succession pressure arrives.",ThermaForge Partners. Stronger Operations. Stronger Profits.,Review recap readiness,"Checklist graphic: call routed, recorded, reviewed, booked.",https://thermaforgepartners.com/apply,recap_ops-linkedin-single-image-029
AD-030,LinkedIn Carousel,Quote requests,Local service business owners,No-heat and no-cool rules should be clear before the phone rings.,"ThermaForge documents emergency routing, VIP exceptions, warranty paths, and dispatch contacts before after-hours calls hit Frontline.",ThermaForge Partners. Stronger Operations. Stronger Profits.,Tighten emergency routing,Before/after split: voicemail leak versus routed call.,https://thermaforgepartners.com/onboarding,emergency_rules-linkedin-carousel-030
AD-031,X Website Clicks,Calls,HVAC owners $5M-$25M revenue,Busy season should not be your first operating audit.,"Find the call-coverage gaps, dispatch friction, and callback patterns before volume makes them expensive.",ThermaForge Partners. Stronger Operations. Stronger Profits.,Run the 24-hour review,Whiteboard math graphic showing call leak to booked-job impact.,https://thermaforgepartners.com/apply,busy_season-x-website-clicks-031
AD-032,YouTube Shorts,Lead form,HVAC GMs and ops managers,The owner should not be the only escalation path.,"ThermaForge helps HVAC owners build operating rhythm around the business so recap, sale, or succession conversations are not built on heroics.",ThermaForge Partners. Stronger Operations. Stronger Profits.,Check owner dependency,Technician truck at dusk with copper caption band.,https://thermaforgepartners.com/onboarding,owner_exit-youtube-shorts-032
AD-033,Google Demand Gen,Website visits,Trade business owners near recap,Stop losing booked HVAC work after hours.,"Send last week's missed calls. ThermaForge will show where calls leaked, what should have routed, and what to fix before the next busy week.",ThermaForge Partners. Stronger Operations. Stronger Profits.,Get the missed-call review,Dark shop-floor photo with copper rule and TF monogram.,https://thermaforgepartners.com/apply,missed_call_audit-google-demand-gen-033
AD-034,Retargeting,Retargeting,Website visitors 30 days,"Frontline call routing for HVAC shops, reviewed by operators.",Calls get answered. Recordings get reviewed. Dispatch rules get tightened. ThermaForge brings the HVAC operating context around the Frontline call coverage layer.,ThermaForge Partners. Stronger Operations. Stronger Profits.,Configure call coverage,"Dispatch desk close-up, call log blurred, copper headline overlay.",https://thermaforgepartners.com/onboarding,frontline_routing-retargeting-034
AD-035,Nextdoor Sponsored Post,Video views,Lookalike of engaged owners,Your dispatch room is either protecting margin or giving it back.,"ThermaForge reviews call flow, emergency rules, lead alerts, and booking outcomes so the owner can see where profit is slipping before month-end.",ThermaForge Partners. Stronger Operations. Stronger Profits.,Book a dispatch review,Rooftop unit image graded charcoal with one large copper number.,https://thermaforgepartners.com/apply,dispatch_review-nextdoor-sponsored-post-035
AD-036,Google Business Profile Update,Quote requests,Local service business owners,Do not call onboarding complete until the first call is recorded.,"A real setup means the call is routed, recorded, reviewed, and connected to a dispatch decision. ThermaForge runs the 24-hour review with Frontline monitoring.",ThermaForge Partners. Stronger Operations. Stronger Profits.,Start onboarding,Founder face-to-camera still with wordmark lower-third.,https://thermaforgepartners.com/onboarding,first_call_recorded-google-business-profile-update-036
AD-037,Meta Feed,Calls,HVAC owners $5M-$25M revenue,Recap-ready HVAC companies do not run on heroics.,"If the owner is still the only escalation path, diligence will notice. Build a cleaner operating rhythm before sale, recap, or succession pressure arrives.",ThermaForge Partners. Stronger Operations. Stronger Profits.,Review recap readiness,"Checklist graphic: call routed, recorded, reviewed, booked.",https://thermaforgepartners.com/apply,recap_ops-meta-feed-037
AD-038,Meta Reels,Lead form,HVAC GMs and ops managers,No-heat and no-cool rules should be clear before the phone rings.,"ThermaForge documents emergency routing, VIP exceptions, warranty paths, and dispatch contacts before after-hours calls hit Frontline.",ThermaForge Partners. Stronger Operations. Stronger Profits.,Tighten emergency routing,Before/after split: voicemail leak versus routed call.,https://thermaforgepartners.com/onboarding,emergency_rules-meta-reels-038
AD-039,Facebook Lead Form,Website visits,Trade business owners near recap,Busy season should not be your first operating audit.,"Find the call-coverage gaps, dispatch friction, and callback patterns before volume makes them expensive.",ThermaForge Partners. Stronger Operations. Stronger Profits.,Run the 24-hour review,Whiteboard math graphic showing call leak to booked-job impact.,https://thermaforgepartners.com/apply,busy_season-facebook-lead-form-039
AD-040,Instagram Stories,Retargeting,Website visitors 30 days,The owner should not be the only escalation path.,"ThermaForge helps HVAC owners build operating rhythm around the business so recap, sale, or succession conversations are not built on heroics.",ThermaForge Partners. Stronger Operations. Stronger Profits.,Check owner dependency,Technician truck at dusk with copper caption band.,https://thermaforgepartners.com/onboarding,owner_exit-instagram-stories-040
AD-041,LinkedIn Single Image,Video views,Lookalike of engaged owners,Stop losing booked HVAC work after hours.,"Send last week's missed calls. ThermaForge will show where calls leaked, what should have routed, and what to fix before the next busy week.",ThermaForge Partners. Stronger Operations. Stronger Profits.,Get the missed-call review,Dark shop-floor photo with copper rule and TF monogram.,https://thermaforgepartners.com/apply,missed_call_audit-linkedin-single-image-041
AD-042,LinkedIn Carousel,Quote requests,Local service business owners,"Frontline call routing for HVAC shops, reviewed by operators.",Calls get answered. Recordings get reviewed. Dispatch rules get tightened. ThermaForge brings the HVAC operating context around the Frontline call coverage layer.,ThermaForge Partners. Stronger Operations. Stronger Profits.,Configure call coverage,"Dispatch desk close-up, call log blurred, copper headline overlay.",https://thermaforgepartners.com/onboarding,frontline_routing-linkedin-carousel-042
AD-043,X Website Clicks,Calls,HVAC owners $5M-$25M revenue,Your dispatch room is either protecting margin or giving it back.,"ThermaForge reviews call flow, emergency rules, lead alerts, and booking outcomes so the owner can see where profit is slipping before month-end.",ThermaForge Partners. Stronger Operations. Stronger Profits.,Book a dispatch review,Rooftop unit image graded charcoal with one large copper number.,https://thermaforgepartners.com/apply,dispatch_review-x-website-clicks-043
AD-044,YouTube Shorts,Lead form,HVAC GMs and ops managers,Do not call onboarding complete until the first call is recorded.,"A real setup means the call is routed, recorded, reviewed, and connected to a dispatch decision. ThermaForge runs the 24-hour review with Frontline monitoring.",ThermaForge Partners. Stronger Operations. Stronger Profits.,Start onboarding,Founder face-to-camera still with wordmark lower-third.,https://thermaforgepartners.com/onboarding,first_call_recorded-youtube-shorts-044
AD-045,Google Demand Gen,Website visits,Trade business owners near recap,Recap-ready HVAC companies do not run on heroics.,"If the owner is still the only escalation path, diligence will notice. Build a cleaner operating rhythm before sale, recap, or succession pressure arrives.",ThermaForge Partners. Stronger Operations. Stronger Profits.,Review recap readiness,"Checklist graphic: call routed, recorded, reviewed, booked.",https://thermaforgepartners.com/apply,recap_ops-google-demand-gen-045
AD-046,Retargeting,Retargeting,Website visitors 30 days,No-heat and no-cool rules should be clear before the phone rings.,"ThermaForge documents emergency routing, VIP exceptions, warranty paths, and dispatch contacts before after-hours calls hit Frontline.",ThermaForge Partners. Stronger Operations. Stronger Profits.,Tighten emergency routing,Before/after split: voicemail leak versus routed call.,https://thermaforgepartners.com/onboarding,emergency_rules-retargeting-046
AD-047,Nextdoor Sponsored Post,Video views,Lookalike of engaged owners,Busy season should not be your first operating audit.,"Find the call-coverage gaps, dispatch friction, and callback patterns before volume makes them expensive.",ThermaForge Partners. Stronger Operations. Stronger Profits.,Run the 24-hour review,Whiteboard math graphic showing call leak to booked-job impact.,https://thermaforgepartners.com/apply,busy_season-nextdoor-sponsored-post-047
AD-048,Google Business Profile Update,Quote requests,Local service business owners,The owner should not be the only escalation path.,"ThermaForge helps HVAC owners build operating rhythm around the business so recap, sale, or succession conversations are not built on heroics.",ThermaForge Partners. Stronger Operations. Stronger Profits.,Check owner dependency,Technician truck at dusk with copper caption band.,https://thermaforgepartners.com/onboarding,owner_exit-google-business-profile-update-048
AD-049,Meta Feed,Calls,HVAC owners $5M-$25M revenue,Stop losing booked HVAC work after hours.,"Send last week's missed calls. ThermaForge will show where calls leaked, what should have routed, and what to fix before the next busy week.",ThermaForge Partners. Stronger Operations. Stronger Profits.,Get the missed-call review,Dark shop-floor photo with copper rule and TF monogram.,https://thermaforgepartners.com/apply,missed_call_audit-meta-feed-049
AD-050,Meta Reels,Lead form,HVAC GMs and ops managers,"Frontline call routing for HVAC shops, reviewed by operators.",Calls get answered. Recordings get reviewed. Dispatch rules get tightened. ThermaForge brings the HVAC operating context around the Frontline call coverage layer.,ThermaForge Partners. Stronger Operations. Stronger Profits.,Configure call coverage,"Dispatch desk close-up, call log blurred, copper headline overlay.",https://thermaforgepartners.com/onboarding,frontline_routing-meta-reels-050
AD-051,Facebook Lead Form,Website visits,Trade business owners near recap,Your dispatch room is either protecting margin or giving it back.,"ThermaForge reviews call flow, emergency rules, lead alerts, and booking outcomes so the owner can see where profit is slipping before month-end.",ThermaForge Partners. Stronger Operations. Stronger Profits.,Book a dispatch review,Rooftop unit image graded charcoal with one large copper number.,https://thermaforgepartners.com/apply,dispatch_review-facebook-lead-form-051
AD-052,Instagram Stories,Retargeting,Website visitors 30 days,Do not call onboarding complete until the first call is recorded.,"A real setup means the call is routed, recorded, reviewed, and connected to a dispatch decision. ThermaForge runs the 24-hour review with Frontline monitoring.",ThermaForge Partners. Stronger Operations. Stronger Profits.,Start onboarding,Founder face-to-camera still with wordmark lower-third.,https://thermaforgepartners.com/onboarding,first_call_recorded-instagram-stories-052
AD-053,LinkedIn Single Image,Video views,Lookalike of engaged owners,Recap-ready HVAC companies do not run on heroics.,"If the owner is still the only escalation path, diligence will notice. Build a cleaner operating rhythm before sale, recap, or succession pressure arrives.",ThermaForge Partners. Stronger Operations. Stronger Profits.,Review recap readiness,"Checklist graphic: call routed, recorded, reviewed, booked.",https://thermaforgepartners.com/apply,recap_ops-linkedin-single-image-053
AD-054,LinkedIn Carousel,Quote requests,Local service business owners,No-heat and no-cool rules should be clear before the phone rings.,"ThermaForge documents emergency routing, VIP exceptions, warranty paths, and dispatch contacts before after-hours calls hit Frontline.",ThermaForge Partners. Stronger Operations. Stronger Profits.,Tighten emergency routing,Before/after split: voicemail leak versus routed call.,https://thermaforgepartners.com/onboarding,emergency_rules-linkedin-carousel-054
AD-055,X Website Clicks,Calls,HVAC owners $5M-$25M revenue,Busy season should not be your first operating audit.,"Find the call-coverage gaps, dispatch friction, and callback patterns before volume makes them expensive.",ThermaForge Partners. Stronger Operations. Stronger Profits.,Run the 24-hour review,Whiteboard math graphic showing call leak to booked-job impact.,https://thermaforgepartners.com/apply,busy_season-x-website-clicks-055
AD-056,YouTube Shorts,Lead form,HVAC GMs and ops managers,The owner should not be the only escalation path.,"ThermaForge helps HVAC owners build operating rhythm around the business so recap, sale, or succession conversations are not built on heroics.",ThermaForge Partners. Stronger Operations. Stronger Profits.,Check owner dependency,Technician truck at dusk with copper caption band.,https://thermaforgepartners.com/onboarding,owner_exit-youtube-shorts-056
AD-057,Google Demand Gen,Website visits,Trade business owners near recap,Stop losing booked HVAC work after hours.,"Send last week's missed calls. ThermaForge will show where calls leaked, what should have routed, and what to fix before the next busy week.",ThermaForge Partners. Stronger Operations. Stronger Profits.,Get the missed-call review,Dark shop-floor photo with copper rule and TF monogram.,https://thermaforgepartners.com/apply,missed_call_audit-google-demand-gen-057
AD-058,Retargeting,Retargeting,Website visitors 30 days,"Frontline call routing for HVAC shops, reviewed by operators.",Calls get answered. Recordings get reviewed. Dispatch rules get tightened. ThermaForge brings the HVAC operating context around the Frontline call coverage layer.,ThermaForge Partners. Stronger Operations. Stronger Profits.,Configure call coverage,"Dispatch desk close-up, call log blurred, copper headline overlay.",https://thermaforgepartners.com/onboarding,frontline_routing-retargeting-058
AD-059,Nextdoor Sponsored Post,Video views,Lookalike of engaged owners,Your dispatch room is either protecting margin or giving it back.,"ThermaForge reviews call flow, emergency rules, lead alerts, and booking outcomes so the owner can see where profit is slipping before month-end.",ThermaForge Partners. Stronger Operations. Stronger Profits.,Book a dispatch review,Rooftop unit image graded charcoal with one large copper number.,https://thermaforgepartners.com/apply,dispatch_review-nextdoor-sponsored-post-059
AD-060,Google Business Profile Update,Quote requests,Local service business owners,Do not call onboarding complete until the first call is recorded.,"A real setup means the call is routed, recorded, reviewed, and connected to a dispatch decision. ThermaForge runs the 24-hour review with Frontline monitoring.",ThermaForge Partners. Stronger Operations. Stronger Profits.,Start onboarding,Founder face-to-camera still with wordmark lower-third.,https://thermaforgepartners.com/onboarding,first_call_recorded-google-business-profile-update-060
AD-061,Meta Feed,Calls,HVAC owners $5M-$25M revenue,Recap-ready HVAC companies do not run on heroics.,"If the owner is still the only escalation path, diligence will notice. Build a cleaner operating rhythm before sale, recap, or succession pressure arrives.",ThermaForge Partners. Stronger Operations. Stronger Profits.,Review recap readiness,"Checklist graphic: call routed, recorded, reviewed, booked.",https://thermaforgepartners.com/apply,recap_ops-meta-feed-061
AD-062,Meta Reels,Lead form,HVAC GMs and ops managers,No-heat and no-cool rules should be clear before the phone rings.,"ThermaForge documents emergency routing, VIP exceptions, warranty paths, and dispatch contacts before after-hours calls hit Frontline.",ThermaForge Partners. Stronger Operations. Stronger Profits.,Tighten emergency routing,Before/after split: voicemail leak versus routed call.,https://thermaforgepartners.com/onboarding,emergency_rules-meta-reels-062
AD-063,Facebook Lead Form,Website visits,Trade business owners near recap,Busy season should not be your first operating audit.,"Find the call-coverage gaps, dispatch friction, and callback patterns before volume makes them expensive.",ThermaForge Partners. Stronger Operations. Stronger Profits.,Run the 24-hour review,Whiteboard math graphic showing call leak to booked-job impact.,https://thermaforgepartners.com/apply,busy_season-facebook-lead-form-063
AD-064,Instagram Stories,Retargeting,Website visitors 30 days,The owner should not be the only escalation path.,"ThermaForge helps HVAC owners build operating rhythm around the business so recap, sale, or succession conversations are not built on heroics.",ThermaForge Partners. Stronger Operations. Stronger Profits.,Check owner dependency,Technician truck at dusk with copper caption band.,https://thermaforgepartners.com/onboarding,owner_exit-instagram-stories-064
AD-065,LinkedIn Single Image,Video views,Lookalike of engaged owners,Stop losing booked HVAC work after hours.,"Send last week's missed calls. ThermaForge will show where calls leaked, what should have routed, and what to fix before the next busy week.",ThermaForge Partners. Stronger Operations. Stronger Profits.,Get the missed-call review,Dark shop-floor photo with copper rule and TF monogram.,https://thermaforgepartners.com/apply,missed_call_audit-linkedin-single-image-065
AD-066,LinkedIn Carousel,Quote requests,Local service business owners,"Frontline call routing for HVAC shops, reviewed by operators.",Calls get answered. Recordings get reviewed. Dispatch rules get tightened. ThermaForge brings the HVAC operating context around the Frontline call coverage layer.,ThermaForge Partners. Stronger Operations. Stronger Profits.,Configure call coverage,"Dispatch desk close-up, call log blurred, copper headline overlay.",https://thermaforgepartners.com/onboarding,frontline_routing-linkedin-carousel-066
AD-067,X Website Clicks,Calls,HVAC owners $5M-$25M revenue,Your dispatch room is either protecting margin or giving it back.,"ThermaForge reviews call flow, emergency rules, lead alerts, and booking outcomes so the owner can see where profit is slipping before month-end.",ThermaForge Partners. Stronger Operations. Stronger Profits.,Book a dispatch review,Rooftop unit image graded charcoal with one large copper number.,https://thermaforgepartners.com/apply,dispatch_review-x-website-clicks-067
AD-068,YouTube Shorts,Lead form,HVAC GMs and ops managers,Do not call onboarding complete until the first call is recorded.,"A real setup means the call is routed, recorded, reviewed, and connected to a dispatch decision. ThermaForge runs the 24-hour review with Frontline monitoring.",ThermaForge Partners. Stronger Operations. Stronger Profits.,Start onboarding,Founder face-to-camera still with wordmark lower-third.,https://thermaforgepartners.com/onboarding,first_call_recorded-youtube-shorts-068
AD-069,Google Demand Gen,Website visits,Trade business owners near recap,Recap-ready HVAC companies do not run on heroics.,"If the owner is still the only escalation path, diligence will notice. Build a cleaner operating rhythm before sale, recap, or succession pressure arrives.",ThermaForge Partners. Stronger Operations. Stronger Profits.,Review recap readiness,"Checklist graphic: call routed, recorded, reviewed, booked.",https://thermaforgepartners.com/apply,recap_ops-google-demand-gen-069
AD-070,Retargeting,Retargeting,Website visitors 30 days,No-heat and no-cool rules should be clear before the phone rings.,"ThermaForge documents emergency routing, VIP exceptions, warranty paths, and dispatch contacts before after-hours calls hit Frontline.",ThermaForge Partners. Stronger Operations. Stronger Profits.,Tighten emergency routing,Before/after split: voicemail leak versus routed call.,https://thermaforgepartners.com/onboarding,emergency_rules-retargeting-070
AD-071,Nextdoor Sponsored Post,Video views,Lookalike of engaged owners,Busy season should not be your first operating audit.,"Find the call-coverage gaps, dispatch friction, and callback patterns before volume makes them expensive.",ThermaForge Partners. Stronger Operations. Stronger Profits.,Run the 24-hour review,Whiteboard math graphic showing call leak to booked-job impact.,https://thermaforgepartners.com/apply,busy_season-nextdoor-sponsored-post-071
AD-072,Google Business Profile Update,Quote requests,Local service business owners,The owner should not be the only escalation path.,"ThermaForge helps HVAC owners build operating rhythm around the business so recap, sale, or succession conversations are not built on heroics.",ThermaForge Partners. Stronger Operations. Stronger Profits.,Check owner dependency,Technician truck at dusk with copper caption band.,https://thermaforgepartners.com/onboarding,owner_exit-google-business-profile-update-072
