id,platform_family,theme,duration_seconds,hook,script_text,on_screen_text,b_roll_direction,voice_direction,audio_filename,export_folder
VID-015,TikTok/Reels/Shorts,dispatch-leak,20,"Bad dispatch does not look expensive at first.","Bad dispatch does not look expensive at first. It looks like a small miss, a vague note, a wrong slot, or a callback later. ThermaForge watches the handoff before the cost shows up on the P&L.","SMALL DISPATCH MISS. BIG COST.","Close-up of vague dispatch note, schedule slot, callback alert.","Operator/founder: practical.",2026-05-08_vid-015_dispatch-leak_voiceover.mp3,/root/Desktop/ThermaForge-Media-Command-Center/07_Exports_By_Platform/TikTok_Reels_Shorts
VID-016,TikTok/Reels/Shorts,frontline-routing,20,"Call coverage needs operating review.","Call coverage needs operating review. The answer is only useful if the recording, transcript, alert, and booking outcome get checked. That is why ThermaForge wraps Frontline with HVAC domain discipline.","COVERAGE + REVIEW","Call waveform, transcript snippet, booking confirmation, TF mark.","Explainer: concise and confident.",2026-05-08_vid-016_frontline-routing_voiceover.mp3,/root/Desktop/ThermaForge-Media-Command-Center/07_Exports_By_Platform/TikTok_Reels_Shorts
VID-017,TikTok/Reels/Shorts,owner-capacity,20,"The owner should not be the escalation plan.","The owner should not be the escalation plan. The business needs clear rules, trained handoffs, and review rhythm. ThermaForge helps HVAC shops reduce owner dependency before growth makes it painful.","OWNER ≠ ESCALATION PLAN","Owner phone buzzing, rules board, team handoff.","Operator/founder: firm.",2026-05-08_vid-017_owner-capacity_voiceover.mp3,/root/Desktop/ThermaForge-Media-Command-Center/07_Exports_By_Platform/TikTok_Reels_Shorts
VID-018,TikTok/Reels/Shorts,callbacks,20,"Every callback steals a slot from tomorrow.","Every callback steals a slot from tomorrow. It takes tech time, schedule capacity, and customer confidence. ThermaForge helps owners track the pattern before callbacks become normal.","CALLBACKS STEAL TOMORROW","Calendar slot disappearing, truck roll, customer rating icon.","Ad voice: direct.",2026-05-08_vid-018_callbacks_voiceover.mp3,/root/Desktop/ThermaForge-Media-Command-Center/07_Exports_By_Platform/TikTok_Reels_Shorts
VID-019,TikTok/Reels/Shorts,emergency-rules,20,"No-heat calls need rules before the phone rings.","No-heat calls need rules before the phone rings. Who gets escalated, what gets booked, what is warranty, and what is VIP? ThermaForge documents that before Frontline starts routing live calls.","NO-HEAT RULES FIRST","No-heat card, escalation arrow, dispatch contact, Frontline number.","Explainer: clear and operational.",2026-05-08_vid-019_emergency-rules_voiceover.mp3,/root/Desktop/ThermaForge-Media-Command-Center/07_Exports_By_Platform/TikTok_Reels_Shorts
VID-020,TikTok/Reels/Shorts,recap-readiness,20,"Diligence notices owner dependency.","Diligence notices owner dependency. If every answer, exception, and fix still runs through one person, the risk is obvious. ThermaForge helps clean the operating story before the next chapter.","DILIGENCE SEES DEPENDENCY","Diligence checklist, owner bottleneck diagram, copper risk label.","Operator/founder: serious.",2026-05-08_vid-020_recap-readiness_voiceover.mp3,/root/Desktop/ThermaForge-Media-Command-Center/07_Exports_By_Platform/TikTok_Reels_Shorts
VID-021,TikTok/Reels/Shorts,weekly-review,20,"Review the call before you review the month.","Review the call before you review the month. The recording tells you what the customer needed. Dispatch tells you what the company did with it. ThermaForge connects both before the P&L surprises you.","REVIEW THE CALL FIRST","Call recording waveform, dispatch action, P&L page fading in.","Explainer: measured.",2026-05-08_vid-021_weekly-review_voiceover.mp3,/root/Desktop/ThermaForge-Media-Command-Center/07_Exports_By_Platform/TikTok_Reels_Shorts
VID-022,TikTok/Reels/Shorts,technician-utilization,20,"A bad intake wastes good technician time.","A bad intake wastes good technician time. Wrong details, weak urgency, unclear equipment notes, and bad scheduling all hit the field later. ThermaForge tightens the call-to-tech handoff.","PROTECT TECH TIME","Intake form, equipment note, tech tablet, dispatch route.","Operator/founder: specific.",2026-05-08_vid-022_technician-utilization_voiceover.mp3,/root/Desktop/ThermaForge-Media-Command-Center/07_Exports_By_Platform/TikTok_Reels_Shorts
VID-023,TikTok/Reels/Shorts,search-intent,20,"The lead is not real until it is booked.","The lead is not real until it is booked. Clicks and calls are only the front edge. ThermaForge follows the demand into routing, dispatch, and calendar outcome.","NOT REAL UNTIL BOOKED","Ad click, phone call, booked calendar slot, copper stamp.","Ad voice: crisp.",2026-05-08_vid-023_search-intent_voiceover.mp3,/root/Desktop/ThermaForge-Media-Command-Center/07_Exports_By_Platform/TikTok_Reels_Shorts
VID-024,TikTok/Reels/Shorts,succession,20,"You cannot hand off chaos cleanly.","You cannot hand off chaos cleanly. Succession needs rules, review rhythm, call coverage, dispatch discipline, and a company that can operate without the founder catching every miss.","YOU CAN'T HAND OFF CHAOS","Messy board to clean operating board transition, founder walking away.","Operator/founder: mature and blunt.",2026-05-08_vid-024_succession_voiceover.mp3,/root/Desktop/ThermaForge-Media-Command-Center/07_Exports_By_Platform/TikTok_Reels_Shorts
VID-025,TikTok/Reels/Shorts,first-call-recorded,20,"The first call is the first proof.","The first call is the first proof. Was it answered? Was it recorded? Was the alert sent? Was the dispatch decision right? ThermaForge uses that first proof to tighten the next call.","FIRST CALL = FIRST PROOF","Four-question checklist, waveform, alert notification, dispatch note.","Explainer: confident and concise.",2026-05-08_vid-025_first-call-recorded_voiceover.mp3,/root/Desktop/ThermaForge-Media-Command-Center/07_Exports_By_Platform/TikTok_Reels_Shorts
