id,script_id,voice_role,voice_id_env,model_id,output_format,script_text,audio_filename,output_folder,status
VO-011,VID-011,ad_voice,ELEVENLABS_AD_VOICE_ID,eleven_multilingual_v2,mp3_44100_128,"Traffic means nothing if the call dies. Ranking, ads, referrals, and reviews only matter if the demand turns into a booked opportunity. ThermaForge connects search demand to call routing, dispatch review, and booked work.",2026-05-08_vid-011_search-intent_voiceover.mp3,/root/Desktop/ThermaForge-Media-Command-Center/07_Exports_By_Platform/TikTok_Reels_Shorts,queued
VO-012,VID-012,operator_founder,ELEVENLABS_OPERATOR_VOICE_ID,eleven_multilingual_v2,mp3_44100_128,"Succession requires systems, not wishes. If the company only works because the founder catches every problem, it is hard to hand off. ThermaForge helps build the operating muscle around the owner before the next chapter starts.",2026-05-08_vid-012_succession_voiceover.mp3,/root/Desktop/ThermaForge-Media-Command-Center/07_Exports_By_Platform/TikTok_Reels_Shorts,queued
VO-013,VID-013,ad_voice,ELEVENLABS_AD_VOICE_ID,eleven_multilingual_v2,mp3_44100_128,"Busy season should not be your first operating audit. Heat exposes weak routing, loose dispatch, unclear emergency rules, and callback patterns fast. ThermaForge helps HVAC owners find those leaks before volume makes them expensive.",2026-05-08_vid-013_busy-season_voiceover.mp3,/root/Desktop/ThermaForge-Media-Command-Center/07_Exports_By_Platform/TikTok_Reels_Shorts,queued
VO-014,VID-014,ad_voice,ELEVENLABS_AD_VOICE_ID,eleven_multilingual_v2,mp3_44100_128,"Voicemail is not a dispatch strategy. If the homeowner has an emergency, silence sends them somewhere else. ThermaForge helps route, record, and review the calls that should have become booked work.",2026-05-08_vid-014_missed-calls_voiceover.mp3,/root/Desktop/ThermaForge-Media-Command-Center/07_Exports_By_Platform/TikTok_Reels_Shorts,queued
VO-015,VID-015,operator_founder,ELEVENLABS_OPERATOR_VOICE_ID,eleven_multilingual_v2,mp3_44100_128,"Bad dispatch does not look expensive at first. It looks like a small miss, a vague note, a wrong slot, or a callback later. ThermaForge watches the handoff before the cost shows up on the P&L.",2026-05-08_vid-015_dispatch-leak_voiceover.mp3,/root/Desktop/ThermaForge-Media-Command-Center/07_Exports_By_Platform/TikTok_Reels_Shorts,queued
VO-016,VID-016,explainer,ELEVENLABS_EXPLAINER_VOICE_ID,eleven_multilingual_v2,mp3_44100_128,"Call coverage needs operating review. The answer is only useful if the recording, transcript, alert, and booking outcome get checked. That is why ThermaForge wraps Frontline with HVAC domain discipline.",2026-05-08_vid-016_frontline-routing_voiceover.mp3,/root/Desktop/ThermaForge-Media-Command-Center/07_Exports_By_Platform/TikTok_Reels_Shorts,queued
VO-017,VID-017,operator_founder,ELEVENLABS_OPERATOR_VOICE_ID,eleven_multilingual_v2,mp3_44100_128,"The owner should not be the escalation plan. The business needs clear rules, trained handoffs, and review rhythm. ThermaForge helps HVAC shops reduce owner dependency before growth makes it painful.",2026-05-08_vid-017_owner-capacity_voiceover.mp3,/root/Desktop/ThermaForge-Media-Command-Center/07_Exports_By_Platform/TikTok_Reels_Shorts,queued
VO-018,VID-018,ad_voice,ELEVENLABS_AD_VOICE_ID,eleven_multilingual_v2,mp3_44100_128,"Every callback steals a slot from tomorrow. It takes tech time, schedule capacity, and customer confidence. ThermaForge helps owners track the pattern before callbacks become normal.",2026-05-08_vid-018_callbacks_voiceover.mp3,/root/Desktop/ThermaForge-Media-Command-Center/07_Exports_By_Platform/TikTok_Reels_Shorts,queued
VO-019,VID-019,explainer,ELEVENLABS_EXPLAINER_VOICE_ID,eleven_multilingual_v2,mp3_44100_128,"No-heat calls need rules before the phone rings. Who gets escalated, what gets booked, what is warranty, and what is VIP? ThermaForge documents that before Frontline starts routing live calls.",2026-05-08_vid-019_emergency-rules_voiceover.mp3,/root/Desktop/ThermaForge-Media-Command-Center/07_Exports_By_Platform/TikTok_Reels_Shorts,queued
VO-020,VID-020,operator_founder,ELEVENLABS_OPERATOR_VOICE_ID,eleven_multilingual_v2,mp3_44100_128,"Diligence notices owner dependency. If every answer, exception, and fix still runs through one person, the risk is obvious. ThermaForge helps clean the operating story before the next chapter.",2026-05-08_vid-020_recap-readiness_voiceover.mp3,/root/Desktop/ThermaForge-Media-Command-Center/07_Exports_By_Platform/TikTok_Reels_Shorts,queued
VO-021,VID-021,explainer,ELEVENLABS_EXPLAINER_VOICE_ID,eleven_multilingual_v2,mp3_44100_128,Review the call before you review the month. The recording tells you what the customer needed. Dispatch tells you what the company did with it. ThermaForge connects both before the P&L surprises you.,2026-05-08_vid-021_weekly-review_voiceover.mp3,/root/Desktop/ThermaForge-Media-Command-Center/07_Exports_By_Platform/TikTok_Reels_Shorts,queued
VO-022,VID-022,operator_founder,ELEVENLABS_OPERATOR_VOICE_ID,eleven_multilingual_v2,mp3_44100_128,"A bad intake wastes good technician time. Wrong details, weak urgency, unclear equipment notes, and bad scheduling all hit the field later. ThermaForge tightens the call-to-tech handoff.",2026-05-08_vid-022_technician-utilization_voiceover.mp3,/root/Desktop/ThermaForge-Media-Command-Center/07_Exports_By_Platform/TikTok_Reels_Shorts,queued
VO-023,VID-023,ad_voice,ELEVENLABS_AD_VOICE_ID,eleven_multilingual_v2,mp3_44100_128,"The lead is not real until it is booked. Clicks and calls are only the front edge. ThermaForge follows the demand into routing, dispatch, and calendar outcome.",2026-05-08_vid-023_search-intent_voiceover.mp3,/root/Desktop/ThermaForge-Media-Command-Center/07_Exports_By_Platform/TikTok_Reels_Shorts,queued
VO-024,VID-024,operator_founder,ELEVENLABS_OPERATOR_VOICE_ID,eleven_multilingual_v2,mp3_44100_128,"You cannot hand off chaos cleanly. Succession needs rules, review rhythm, call coverage, dispatch discipline, and a company that can operate without the founder catching every miss.",2026-05-08_vid-024_succession_voiceover.mp3,/root/Desktop/ThermaForge-Media-Command-Center/07_Exports_By_Platform/TikTok_Reels_Shorts,queued
VO-025,VID-025,explainer,ELEVENLABS_EXPLAINER_VOICE_ID,eleven_multilingual_v2,mp3_44100_128,The first call is the first proof. Was it answered? Was it recorded? Was the alert sent? Was the dispatch decision right? ThermaForge uses that first proof to tighten the next call.,2026-05-08_vid-025_first-call-recorded_voiceover.mp3,/root/Desktop/ThermaForge-Media-Command-Center/07_Exports_By_Platform/TikTok_Reels_Shorts,queued
